body_weight_end_g,liver_weight_g,kidney_weight_g,alt_u_l,ast_u_l,creatinine_umol_l,sex,strain,vcg,vcg_method,vcg_seed
191.03229203899883,6.785361108872392,1.2615587050575192,43.7741755501773,53.16970247682546,44.71229136939876,female,wistar,True,bootstrap,42
335.2932421049568,10.515503345170185,1.8888733625479663,51.02966635080904,67.03454024290845,66.15772973304925,male,sprague-dawley,True,bootstrap,42
258.6193779471563,8.52751170157298,1.429408500916585,47.36939419593304,67.357322512043,48.81278928825007,male,sprague-dawley,True,bootstrap,42
312.9864986464404,9.46099552443188,1.7843985911701925,38.43483156941632,61.60899781266035,59.00085063152866,female,sprague-dawley,True,bootstrap,42
175.226302076935,6.034583991007517,1.2152668355288463,47.15372573446498,70.17757334088643,46.5620047574718,male,sprague-dawley,True,bootstrap,42
188.13699983160527,6.715965698937199,1.2473117582921758,42.41185220513568,61.54432938697281,48.66831706047783,male,sprague-dawley,True,bootstrap,42
219.8576346424645,8.266636277318307,1.370154035203786,41.314681398776735,46.82622363722408,46.91196250842781,male,sprague-dawley,True,bootstrap,42
287.6754457460028,9.835171731661069,1.8839368907480727,36.36581801364435,57.40222706950589,64.39621787886912,female,sprague-dawley,True,bootstrap,42
206.085844267228,7.943779573705768,1.3895485139646877,41.58203650749726,63.366061338968855,62.44030872010829,female,sprague-dawley,True,bootstrap,42
224.50270833358613,7.329107329700369,1.380762764337322,38.25528029073419,50.715416951028686,56.39026926745196,female,sprague-dawley,True,bootstrap,42
279.3697102383,10.700471051163168,1.9324415882973127,49.20180207809867,67.18241652564525,55.320907138010114,male,wistar,True,bootstrap,42
269.60620692565664,9.049803549290758,1.7982623767434514,38.78500963360192,52.4276036257025,49.07508484272044,male,sprague-dawley,True,bootstrap,42
287.1832075116289,9.48345296056931,1.736715967692826,39.45414447629825,59.24035406907283,58.65804052988644,male,sprague-dawley,True,bootstrap,42
323.6381416383504,10.69979846525312,1.8091655988503503,42.05930902295096,63.31612016229175,52.17265488460379,female,wistar,True,bootstrap,42
180.6599803551576,6.414563519053382,1.1813549578409044,39.52492626130036,55.99917219023914,51.77268405736286,female,wistar,True,bootstrap,42
346.2937521720992,11.644718568402302,2.084498776347873,39.42957611465751,60.83765909698375,66.28339810969975,male,sprague-dawley,True,bootstrap,42
250.40057188984215,8.460572620057103,1.5521127847999363,39.39027103284689,44.31704554747132,48.721146589886914,female,sprague-dawley,True,bootstrap,42
253.2711779932577,9.030521169941574,1.6904798019645564,44.39465499119416,65.59200590980578,56.413673565522366,male,sprague-dawley,True,bootstrap,42
339.53092056440977,11.848928044221738,1.8566170283554029,44.97935502445164,65.04183617432278,56.26426792764534,male,sprague-dawley,True,bootstrap,42
291.84816506299364,10.37221494811718,1.9222813691154197,44.15601797705329,61.50934571482077,62.95894739140097,male,sprague-dawley,True,bootstrap,42
236.89544312299915,8.158933961302653,1.7025189071819913,45.95739483413633,66.21864001074879,57.76577786111026,female,sprague-dawley,True,bootstrap,42
241.6866861321541,9.53925700590941,1.6121151548042003,46.85709581274553,65.53389092900632,52.60495156558957,male,sprague-dawley,True,bootstrap,42
362.145284662308,11.080646525870923,2.1000093827535,48.75861513527846,60.51976907239906,62.20628509963872,male,sprague-dawley,True,bootstrap,42
314.52039027221593,11.57666017942858,1.8687158930273915,44.52182266190949,58.1157845662848,56.33874386991614,male,sprague-dawley,True,bootstrap,42
210.80744701422796,6.609598741943441,1.330820376001117,44.675116050204174,57.26981427985722,48.36490171713489,female,sprague-dawley,True,bootstrap,42
274.8054447421701,9.091977899270182,1.6770141853586862,49.68579595440351,71.01372828226286,55.87452634135604,female,sprague-dawley,True,bootstrap,42
265.10048733658726,8.467573335957828,1.3263474309680463,48.35993311763197,69.37000485619438,47.10013710252362,female,sprague-dawley,True,bootstrap,42
292.42278685193327,9.11408600233481,1.715345698598191,41.03425309062954,55.05990857409608,53.43656117389077,female,sprague-dawley,True,bootstrap,42
286.9046292603159,8.48770125443225,1.8011561629970796,49.49166988317001,63.76013262003952,58.808243820162495,male,sprague-dawley,True,bootstrap,42
254.16443512490287,8.378213559319011,1.7204754662530215,49.85636349797435,80.53051432299914,54.70040056688899,male,sprague-dawley,True,bootstrap,42
